epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0031,3.92126,5.03455,4.16142,0.00018,0.05303,9e-05,2e-05,3.5628,4.86203,4.21992,0.00065873,0.00065873,0.00065873
2,24.9774,3.14876,3.97836,3.44699,0.09298,0.0303,0.02333,0.0056,2.83633,9.2837,5.51652,0.00131665,0.00131665,0.00131665
3,36.6996,2.89711,3.32233,3.01482,0.1839,0.18182,0.08111,0.02558,2.71507,3.80279,3.37309,0.00196577,0.00196577,0.00196577
4,48.5682,2.79741,2.99184,2.87511,0.30504,0.26515,0.1997,0.06713,2.46272,2.71755,3.0643,0.0019604,0.0019604,0.0019604
5,60.3538,2.72871,2.69312,2.78885,0.2318,0.30303,0.18341,0.06661,2.47194,2.7595,3.00711,0.0019472,0.0019472,0.0019472
6,72.0035,2.44583,2.49424,2.60681,0.34528,0.32363,0.25888,0.089,2.40198,2.47005,2.83129,0.001934,0.001934,0.001934
7,83.8911,2.4243,2.39547,2.5951,0.44099,0.34091,0.33846,0.14915,2.28678,3.14571,2.8313,0.0019208,0.0019208,0.0019208
8,95.8352,2.33541,2.38135,2.5145,0.48159,0.37121,0.39059,0.1954,2.07266,2.312,2.60703,0.0019076,0.0019076,0.0019076
9,107.997,2.2523,2.35033,2.50037,0.46304,0.47727,0.43739,0.2072,2.07728,2.39436,2.54073,0.0018944,0.0018944,0.0018944
10,120.105,2.19984,2.26777,2.40875,0.42336,0.40152,0.35948,0.15694,2.08148,2.34775,2.52506,0.0018812,0.0018812,0.0018812
11,132.271,2.10981,2.13739,2.336,0.5165,0.44697,0.44514,0.23252,1.9414,2.13211,2.4295,0.001868,0.001868,0.001868
12,144.35,2.06919,2.15316,2.31405,0.33574,0.42424,0.2993,0.13778,2.04438,2.25372,2.48211,0.0018548,0.0018548,0.0018548
13,155.911,2.05932,2.06832,2.28721,0.49468,0.52273,0.46485,0.21981,1.86328,2.32219,2.33355,0.0018416,0.0018416,0.0018416
14,167.922,1.99469,2.05528,2.21066,0.65247,0.46212,0.52591,0.2546,1.90965,2.24117,2.38795,0.0018284,0.0018284,0.0018284
15,179.901,1.94372,1.95322,2.17848,0.67116,0.56061,0.5763,0.29688,1.78972,1.86284,2.20575,0.0018152,0.0018152,0.0018152
16,192.254,1.89696,1.96646,2.1534,0.70173,0.48125,0.58105,0.32608,1.66993,1.92212,2.12963,0.001802,0.001802,0.001802
17,204.252,1.92078,1.94827,2.17061,0.65136,0.59091,0.63228,0.30132,1.89748,1.76074,2.34759,0.0017888,0.0017888,0.0017888
18,216.14,1.86674,1.81943,2.10923,0.54219,0.60606,0.56612,0.32517,1.61573,2.09854,2.13782,0.0017756,0.0017756,0.0017756
19,228.513,1.8831,1.91576,2.13735,0.54515,0.60606,0.57402,0.30907,1.57984,1.80991,2.0759,0.0017624,0.0017624,0.0017624
20,240.789,1.75023,1.80336,2.05032,0.68176,0.68182,0.66898,0.35204,1.57157,1.68623,2.03595,0.0017492,0.0017492,0.0017492
21,252.833,1.80993,1.83403,2.08108,0.6897,0.56818,0.64938,0.35971,1.56844,1.80881,2.08738,0.001736,0.001736,0.001736
22,264.736,1.72715,1.75779,1.99999,0.59487,0.67424,0.64729,0.37361,1.56991,1.78067,2.0032,0.0017228,0.0017228,0.0017228
23,276.668,1.73373,1.80647,2.02801,0.66808,0.57576,0.59914,0.34438,1.56136,1.84514,2.07398,0.0017096,0.0017096,0.0017096
24,288.324,1.67774,1.6716,1.94556,0.59262,0.59091,0.60874,0.3608,1.54092,1.65687,2.01557,0.0016964,0.0016964,0.0016964
25,300.198,1.64073,1.64674,1.93503,0.69126,0.68182,0.65829,0.39684,1.48662,1.64245,1.99379,0.0016832,0.0016832,0.0016832
26,312.073,1.62476,1.6425,1.89571,0.73801,0.67424,0.7261,0.45289,1.4067,1.43452,1.8821,0.00167,0.00167,0.00167
27,323.81,1.6772,1.67792,1.94891,0.74011,0.59091,0.66299,0.37644,1.51238,1.61882,2.01629,0.0016568,0.0016568,0.0016568
28,335.45,1.61025,1.62558,1.89067,0.6371,0.68182,0.70781,0.41203,1.41775,1.53438,1.84492,0.0016436,0.0016436,0.0016436
29,347.309,1.64766,1.62459,1.92068,0.71435,0.68182,0.6754,0.42001,1.42804,1.60092,1.88926,0.0016304,0.0016304,0.0016304
30,359.24,1.62075,1.60896,1.87823,0.7086,0.70455,0.71172,0.42403,1.47714,1.46898,1.8881,0.0016172,0.0016172,0.0016172
31,371.2,1.57269,1.61126,1.85865,0.7197,0.62245,0.65441,0.39914,1.44899,1.52457,1.91474,0.001604,0.001604,0.001604
32,383.318,1.59686,1.61276,1.8805,0.67041,0.73485,0.71178,0.42181,1.369,1.48467,1.8489,0.0015908,0.0015908,0.0015908
33,395.37,1.55887,1.50684,1.83307,0.64605,0.70455,0.67512,0.4239,1.37267,1.5113,1.80802,0.0015776,0.0015776,0.0015776
34,407.28,1.54845,1.52888,1.84663,0.71356,0.73602,0.72116,0.44625,1.40107,1.38299,1.83448,0.0015644,0.0015644,0.0015644
35,418.881,1.51017,1.52452,1.80204,0.68579,0.69447,0.69506,0.4348,1.38319,1.39477,1.81893,0.0015512,0.0015512,0.0015512
36,430.392,1.53236,1.53713,1.80898,0.70272,0.75,0.73998,0.47561,1.30843,1.43961,1.71136,0.001538,0.001538,0.001538
37,442.055,1.49665,1.47987,1.81224,0.58606,0.62121,0.64029,0.41545,1.43935,1.62831,1.90941,0.0015248,0.0015248,0.0015248
38,454.013,1.49734,1.45415,1.78124,0.74305,0.65725,0.70103,0.45342,1.36055,1.44273,1.79115,0.0015116,0.0015116,0.0015116
