epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1846,7.35291,18.3104,8.25473,0,0,0,0,6.6104,18.9038,8.25044,0.00065873,0.00065873,0.00065873
2,36.4909,5.74738,10.4935,6.71535,0.18251,0.25758,0.11155,0.03462,5.03865,18.8337,9.70654,0.00131665,0.00131665,0.00131665
3,55.2174,5.13582,7.83111,5.846,0.24701,0.18182,0.10058,0.03731,5.08681,18.6222,9.89668,0.00196577,0.00196577,0.00196577
4,73.8382,4.76553,6.72079,5.43797,0.32261,0.23485,0.20071,0.06009,4.69968,5.41031,6.07445,0.0019604,0.0019604,0.0019604
5,92.596,4.78952,6.07305,5.29973,0.18551,0.27273,0.14109,0.05384,4.05119,5.55616,5.33294,0.0019472,0.0019472,0.0019472
6,111.289,4.36822,5.54462,4.97557,0.34047,0.27273,0.27664,0.11599,3.92088,4.98464,5.19438,0.001934,0.001934,0.001934
7,129.996,4.33233,5.27314,4.91298,0.35323,0.31031,0.27553,0.12318,3.91551,5.09883,5.01251,0.0019208,0.0019208,0.0019208
8,148.538,4.25252,5.15142,4.85716,0.45307,0.36364,0.40923,0.19253,3.69053,4.4538,4.87763,0.0019076,0.0019076,0.0019076
9,167.494,4.09067,5.10833,4.70216,0.46294,0.43939,0.43277,0.20618,3.73875,4.73237,4.86972,0.0018944,0.0018944,0.0018944
10,186.617,4.12408,4.92125,4.67604,0.37759,0.43182,0.35485,0.1824,3.74026,5.33926,4.91445,0.0018812,0.0018812,0.0018812
11,201.05,3.92724,4.54678,4.49909,0.57655,0.43324,0.47682,0.24683,3.55234,4.14539,4.61828,0.001868,0.001868,0.001868
12,212.96,3.90446,4.62622,4.52747,0.3584,0.2803,0.25718,0.13441,3.68734,5.34525,4.98453,0.0018548,0.0018548,0.0018548
13,224.023,3.82381,4.41811,4.46265,0.39774,0.43939,0.36511,0.20067,3.47567,4.65926,4.63236,0.0018416,0.0018416,0.0018416
14,235.66,3.73376,4.3633,4.3031,0.55554,0.45452,0.47145,0.23372,3.30982,4.06068,4.54156,0.0018284,0.0018284,0.0018284
15,247.185,3.6697,4.12499,4.30101,0.53693,0.56061,0.5258,0.2656,3.31081,3.75506,4.46983,0.0018152,0.0018152,0.0018152
16,258.866,3.61295,4.01348,4.22198,0.50696,0.48485,0.47704,0.24766,3.16586,4.06711,4.37368,0.001802,0.001802,0.001802
17,270.398,3.60014,4.03443,4.2481,0.42158,0.49242,0.43878,0.21926,3.45417,3.96144,4.53735,0.0017888,0.0017888,0.0017888
18,282.042,3.50323,3.85475,4.12146,0.56446,0.46212,0.47626,0.27311,3.05721,3.78771,4.24491,0.0017756,0.0017756,0.0017756
19,294.018,3.54317,3.91243,4.19023,0.43339,0.48096,0.4807,0.28357,3.09173,3.53617,4.22429,0.0017624,0.0017624,0.0017624
20,305.692,3.33643,3.73303,4.04336,0.5093,0.59091,0.52468,0.31777,2.8439,3.35231,4.06383,0.0017492,0.0017492,0.0017492
21,317.499,3.34124,3.68179,4.03924,0.54776,0.48485,0.55143,0.3222,2.84427,3.30228,4.15522,0.001736,0.001736,0.001736
22,329.069,3.28473,3.65092,3.97346,0.6051,0.50758,0.57126,0.35394,2.89516,3.32444,4.07627,0.0017228,0.0017228,0.0017228
23,340.588,3.29442,3.54903,4.01079,0.44748,0.59091,0.53237,0.30737,2.99366,3.26051,4.26664,0.0017096,0.0017096,0.0017096
24,351.939,3.20577,3.44376,3.88067,0.56193,0.48485,0.55281,0.3259,2.88952,3.22315,4.05944,0.0016964,0.0016964,0.0016964
25,363.495,3.12758,3.27293,3.785,0.57254,0.61364,0.56238,0.32452,2.92737,3.13583,4.03173,0.0016832,0.0016832,0.0016832
26,375.188,3.12881,3.23024,3.80727,0.58384,0.55303,0.58918,0.36753,2.80274,3.09463,3.98008,0.00167,0.00167,0.00167
27,386.644,3.23358,3.42204,3.85328,0.57362,0.59848,0.56635,0.35708,2.8136,3.21227,4.06001,0.0016568,0.0016568,0.0016568
28,398.256,3.08756,3.22873,3.79977,0.59925,0.57576,0.57479,0.34663,2.81607,3.10654,3.97984,0.0016436,0.0016436,0.0016436
29,409.879,3.04325,3.16172,3.76501,0.62156,0.58482,0.62636,0.39713,2.79455,2.8634,3.93745,0.0016304,0.0016304,0.0016304
30,421.587,3.01908,3.2349,3.69503,0.60634,0.61845,0.62243,0.40571,2.66577,2.84907,3.7478,0.0016172,0.0016172,0.0016172
31,433.398,2.98074,3.1507,3.69235,0.57604,0.65152,0.60572,0.40106,2.63292,2.58408,3.74439,0.001604,0.001604,0.001604
32,444.922,3.00957,3.03073,3.74876,0.65615,0.62121,0.64155,0.41448,2.7592,2.71629,3.82245,0.0015908,0.0015908,0.0015908
33,456.441,2.94313,3.05732,3.69568,0.5855,0.53507,0.56491,0.36068,2.50784,2.72957,3.64749,0.0015776,0.0015776,0.0015776
34,468.177,2.85349,3.05965,3.60269,0.56238,0.6036,0.63007,0.41717,2.6833,2.57098,3.87897,0.0015644,0.0015644,0.0015644
35,479.945,2.79168,2.79421,3.51995,0.7751,0.54831,0.6479,0.39592,2.67953,2.77488,3.88801,0.0015512,0.0015512,0.0015512
36,491.437,2.94499,2.92728,3.66169,0.64092,0.67612,0.6773,0.40367,2.70759,2.50531,3.72295,0.001538,0.001538,0.001538
37,503.347,2.91407,2.79639,3.67585,0.61494,0.64394,0.66736,0.43447,2.63471,2.56638,3.68478,0.0015248,0.0015248,0.0015248
38,515.442,2.83734,2.8319,3.54807,0.65856,0.56987,0.61161,0.40405,2.54327,2.86585,3.66849,0.0015116,0.0015116,0.0015116
39,527.222,2.75479,2.77512,3.48922,0.73114,0.59848,0.68395,0.43222,2.49642,2.65386,3.67641,0.0014984,0.0014984,0.0014984
40,538.679,2.8064,2.7021,3.53528,0.6647,0.62879,0.66895,0.45279,2.48908,2.59122,3.67787,0.0014852,0.0014852,0.0014852
