epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5225,3.85723,5.17818,4.17665,0.00015,0.04545,8e-05,2e-05,3.4838,4.83199,4.19514,0.00065873,0.00065873,0.00065873
2,24.3275,3.1524,4.41665,3.60779,0.00265,0.79545,0.01464,0.00336,2.73344,5.21825,4.0024,0.00131665,0.00131665,0.00131665
3,35.9651,2.85807,3.69542,3.15251,0.07653,0.08333,0.02395,0.0063,3.16991,5.24922,5.27294,0.00196577,0.00196577,0.00196577
4,47.7446,2.67847,3.23801,2.9275,0.2268,0.21212,0.13686,0.04852,2.70649,3.37882,3.94132,0.0019604,0.0019604,0.0019604
5,59.3507,2.64627,2.92602,2.86023,0.269,0.26515,0.20617,0.07188,2.41159,2.71443,2.94385,0.0019472,0.0019472,0.0019472
6,70.932,2.44165,2.65421,2.68727,0.33041,0.34091,0.26755,0.10212,2.33769,2.50128,2.92591,0.001934,0.001934,0.001934
7,82.5745,2.41377,2.59677,2.66309,0.44628,0.36364,0.31149,0.13718,2.21885,2.57498,2.77684,0.0019208,0.0019208,0.0019208
8,94.1102,2.3456,2.52023,2.59875,0.50012,0.39394,0.3947,0.1648,2.1232,2.24002,2.63435,0.0019076,0.0019076,0.0019076
9,106.031,2.23044,2.40349,2.49791,0.54705,0.4026,0.40305,0.20318,2.0264,2.31108,2.59038,0.0018944,0.0018944,0.0018944
10,118.083,2.21375,2.37002,2.46913,0.53748,0.43182,0.41984,0.2069,2.06119,2.49097,2.56388,0.0018812,0.0018812,0.0018812
11,129.711,2.16353,2.21866,2.41393,0.47725,0.45455,0.43619,0.21086,1.95917,2.05391,2.49812,0.001868,0.001868,0.001868
12,141.533,2.15146,2.29774,2.41067,0.507,0.46212,0.43793,0.20916,1.92611,2.05099,2.49018,0.0018548,0.0018548,0.0018548
13,152.71,2.05899,2.20926,2.34621,0.72087,0.46212,0.54914,0.27549,1.88334,2.12156,2.47647,0.0018416,0.0018416,0.0018416
14,164.214,2.01644,2.17825,2.27601,0.57519,0.40909,0.44682,0.22022,1.94046,2.41066,2.497,0.0018284,0.0018284,0.0018284
15,175.759,2.04723,2.05488,2.3333,0.52762,0.47387,0.47418,0.20899,1.97168,2.14053,2.52358,0.0018152,0.0018152,0.0018152
16,187.359,2.01228,2.08136,2.27501,0.44482,0.43939,0.39904,0.18663,1.78221,2.03786,2.3277,0.001802,0.001802,0.001802
17,198.993,1.95709,2.02021,2.23282,0.55581,0.50758,0.52049,0.25806,1.89446,2.09049,2.43017,0.0017888,0.0017888,0.0017888
18,210.381,1.93697,1.962,2.19961,0.57091,0.59091,0.59128,0.32635,1.71683,2.13586,2.2855,0.0017756,0.0017756,0.0017756
19,222.115,1.94374,2.00587,2.25088,0.64795,0.5,0.5555,0.29548,1.82139,1.9654,2.40405,0.0017624,0.0017624,0.0017624
20,233.9,1.86631,1.92266,2.18763,0.5671,0.58333,0.56995,0.2531,1.9462,1.85058,2.44883,0.0017492,0.0017492,0.0017492
21,245.677,1.8666,1.93084,2.17158,0.642,0.56061,0.58957,0.33129,1.73898,1.78818,2.29002,0.001736,0.001736,0.001736
22,257.008,1.86468,1.87486,2.16068,0.56867,0.60928,0.58702,0.28867,1.75598,1.86579,2.26604,0.0017228,0.0017228,0.0017228
23,268.431,1.84677,1.89003,2.1281,0.67689,0.50758,0.62689,0.33818,1.64035,1.78244,2.15896,0.0017096,0.0017096,0.0017096
24,279.982,1.74698,1.78823,2.03583,0.67415,0.57576,0.62376,0.32486,1.61708,1.69908,2.16728,0.0016964,0.0016964,0.0016964
25,291.545,1.7393,1.79345,2.01912,0.62755,0.63825,0.63564,0.37872,1.61031,1.8077,2.15662,0.0016832,0.0016832,0.0016832
