epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5716,3.82647,4.88351,4.1553,0.00015,0.04545,8e-05,2e-05,3.45014,4.13547,4.1598,0.00065873,0.00065873,0.00065873
2,25.0884,3.16979,3.91594,3.46884,0.02406,0.37879,0.01532,0.00555,2.57387,60.2772,9.69223,0.00131665,0.00131665,0.00131665
3,36.7402,2.88819,3.39873,3.07809,0.02732,0.04545,0.00677,0.00186,2.87407,3.81393,6.28531,0.00196577,0.00196577,0.00196577
4,48.3496,2.6752,3.115,2.93606,0.26575,0.34091,0.18058,0.06868,2.32561,2.57229,2.99113,0.0019604,0.0019604,0.0019604
5,60.2862,2.5943,2.86532,2.83844,0.11435,0.14394,0.05059,0.02105,2.34732,3.29412,3.0142,0.0019472,0.0019472,0.0019472
6,71.8382,2.40316,2.61498,2.70741,0.41824,0.34091,0.27888,0.11482,2.17321,2.4981,2.79071,0.001934,0.001934,0.001934
7,83.5179,2.34666,2.49279,2.63556,0.54505,0.40909,0.41437,0.20072,2.07074,2.53954,2.74121,0.0019208,0.0019208,0.0019208
8,95.0744,2.2964,2.42932,2.58932,0.4744,0.43182,0.41408,0.17548,2.01213,2.22948,2.59661,0.0019076,0.0019076,0.0019076
9,106.804,2.19414,2.40837,2.51085,0.49869,0.29393,0.29257,0.13721,2.25606,2.8078,2.79185,0.0018944,0.0018944,0.0018944
10,118.578,2.17955,2.34341,2.49322,0.56201,0.44697,0.51858,0.26789,1.82397,2.07445,2.42343,0.0018812,0.0018812,0.0018812
11,130.52,2.06765,2.14447,2.37331,0.54613,0.46212,0.52676,0.23767,2.0509,2.08115,2.60062,0.001868,0.001868,0.001868
12,142.589,2.02077,2.22387,2.35457,0.70978,0.46212,0.55308,0.28599,1.95318,1.94813,2.4821,0.0018548,0.0018548,0.0018548
13,153.629,1.95186,2.11483,2.30204,0.70103,0.47965,0.59738,0.31876,1.73747,1.94197,2.38149,0.0018416,0.0018416,0.0018416
14,165.721,1.92099,2.08107,2.24344,0.5831,0.50758,0.53011,0.26732,1.83377,2.02721,2.4224,0.0018284,0.0018284,0.0018284
15,177.267,1.88151,1.9761,2.25012,0.65657,0.49242,0.52443,0.26975,1.8573,2.0227,2.4295,0.0018152,0.0018152,0.0018152
16,188.862,1.88938,1.98999,2.22889,0.68482,0.5303,0.6306,0.33082,1.66913,1.86687,2.34065,0.001802,0.001802,0.001802
17,200.653,1.83104,1.97074,2.22252,0.62721,0.54809,0.60642,0.2968,1.8239,1.97905,2.42529,0.0017888,0.0017888,0.0017888
18,211.962,1.78718,1.85734,2.13526,0.68968,0.51515,0.58602,0.32305,1.74395,1.83894,2.38526,0.0017756,0.0017756,0.0017756
19,223.904,1.83205,1.92447,2.21678,0.75903,0.50112,0.64247,0.35778,1.61452,1.69009,2.26808,0.0017624,0.0017624,0.0017624
20,235.539,1.73744,1.84454,2.13725,0.81425,0.59778,0.71772,0.39675,1.60438,1.69855,2.2927,0.0017492,0.0017492,0.0017492
21,247.369,1.71105,1.82887,2.12553,0.68663,0.65152,0.69324,0.39183,1.51481,1.7929,2.25074,0.001736,0.001736,0.001736
22,258.771,1.63482,1.73895,2.07867,0.75877,0.5719,0.69966,0.41775,1.4751,1.68027,2.19174,0.0017228,0.0017228,0.0017228
23,270.19,1.68802,1.74963,2.10282,0.60268,0.6895,0.68066,0.39288,1.60264,1.67084,2.35306,0.0017096,0.0017096,0.0017096
24,281.651,1.61096,1.70748,2.03616,0.80754,0.65152,0.74939,0.43362,1.51294,1.5788,2.24323,0.0016964,0.0016964,0.0016964
25,293.214,1.60484,1.61869,1.9806,0.6343,0.67017,0.7003,0.40625,1.42925,1.61582,2.16633,0.0016832,0.0016832,0.0016832
26,304.899,1.6209,1.62558,2.03066,0.74434,0.66667,0.73489,0.43584,1.51407,1.63128,2.20716,0.00167,0.00167,0.00167
27,316.679,1.65045,1.6523,2.01822,0.74455,0.67424,0.76004,0.46602,1.47851,1.53728,2.21059,0.0016568,0.0016568,0.0016568
28,328.086,1.59187,1.57743,1.99251,0.78896,0.65152,0.76146,0.46303,1.41578,1.43209,2.09074,0.0016436,0.0016436,0.0016436
29,339.377,1.56143,1.60408,1.99888,0.7925,0.59091,0.71975,0.43458,1.4537,1.54318,2.21548,0.0016304,0.0016304,0.0016304
30,350.824,1.54108,1.55836,1.95654,0.71509,0.62747,0.71015,0.43934,1.45182,1.54909,2.16985,0.0016172,0.0016172,0.0016172
31,362.564,1.60298,1.63891,2.00517,0.75385,0.62879,0.71233,0.40855,1.46378,1.63216,2.20013,0.001604,0.001604,0.001604
32,374.232,1.51566,1.55669,1.95828,0.70708,0.74977,0.78775,0.50403,1.31536,1.38968,2.06665,0.0015908,0.0015908,0.0015908
33,386.283,1.53368,1.53771,2.00073,0.76557,0.71746,0.78215,0.50121,1.31293,1.38792,2.06668,0.0015776,0.0015776,0.0015776
34,397.838,1.4739,1.508,1.91393,0.75023,0.59848,0.72805,0.44316,1.36154,1.4145,2.05922,0.0015644,0.0015644,0.0015644
35,409.544,1.45195,1.45759,1.89468,0.7178,0.69371,0.75051,0.46688,1.40327,1.38486,2.1163,0.0015512,0.0015512,0.0015512
36,420.928,1.4672,1.49268,1.9085,0.82433,0.71212,0.7988,0.48587,1.4135,1.31835,2.14041,0.001538,0.001538,0.001538
